Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area,Index
4 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",79.4 Lac,79.4 Lac,Salt Lake Kolkata,1070 sqft,Ready to Move,Ground out of 1,Resale,Semi-Furnished,,Club,,2.0,,,Co-operative Society,1212 sqft,,,1461
4 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",49.7 Lac,49.7 Lac,Gachibowli Hyderabad,733 sqft,Under Construction,21 out of 23,New Property,Semi-Furnished,South-West,,,4.0,1.0,0.0,Leasehold,853 sqft,,,1462
1 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",84.2 Lac,84.2 Lac,HSR Layout Bangalore,868 sqft,Under Construction,Ground out of 3,New Property,Unfurnished,South-West,Main Road,,3.0,2.0,0.0,Leasehold,941 sqft,,,1463
4 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.28 Cr,1.28 Cr,Andheri West Mumbai,173 sqm,Ready to Move,12 out of 12,New Property,Semi-Furnished,South-West,Club,,3.0,,0.0,Leasehold,2378 sqft,,,1464
3 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",1.6 Cr,1.6 Cr,Sector 137 Noida,1780 sqft,Ready to Move,1 out of 1,Resale,Furnished,North-East,Garden/Park,,,1.0,1.0,Leasehold,2199 sqft,,,1465
3 BHK Flat for Sale in Thane West Mumbai,"Spacious property with modern amenities, close to schools and markets.",2.46 Cr,2.46 Cr,Thane West Mumbai,2081 sqft,Ready to Move,5 out of 12,New Property,Unfurnished,West,,,3.0,2.0,,Leasehold,2303 sqft,,,1466
2 BHK Flat for Sale in Thane West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.62 Cr,1.62 Cr,Thane West Mumbai,134 sqm,Under Construction,Ground out of 1,New Property,Furnished,North-East,Club,Lake View Residency,4.0,1.0,,Co-operative Society,1830 sqft,,,1467
1 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.12 Cr,1.12 Cr,HSR Layout Bangalore,1434 sqft,Under Construction,5 out of 16,Resale,Semi-Furnished,East,Garden/Park,Maple Residency,,,2.0,Power Of Attorney,1729 sqft,,,1468
2 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",1.37 Cr,1.37 Cr,Vaishali Ghaziabad,152 sqm,Ready to Move,14 out of 21,New Property,Furnished,East,Pool,Green Valley Residency,2.0,0.0,2.0,Freehold,2119 sqft,,,1469
4 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",1.65 Cr,1.65 Cr,Dwarka Delhi,1186 sqft,Under Construction,1 out of 3,New Property,Unfurnished,South-West,Main Road,,2.0,3.0,1.0,Co-operative Society,1303 sqft,,,1470
4 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",59.5 Lac,59.5 Lac,Salt Lake Kolkata,632 sqft,Under Construction,Ground out of 6,New Property,Unfurnished,,Main Road,Palm Grove Residency,2.0,1.0,1.0,Power Of Attorney,752 sqft,,,1471
2 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",,78.7 Lac,Sector 137 Noida,1324 sqft,Under Construction,Ground out of 2,New Property,Furnished,South-West,Garden/Park,,3.0,1.0,1.0,Leasehold,1588 sqft,,,1472
2 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",2.62 Cr,2.62 Cr,Vaishali Ghaziabad,185 sqm,Under Construction,9 out of 12,Resale,Unfurnished,,Garden/Park,Palm Grove Residency,3.0,2.0,1.0,Leasehold,2225 sqft,,,1473
3 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",70.0 Lac,70.0 Lac,Rajarhat Kolkata,812 sqft,Ready to Move,9 out of 15,Resale,Semi-Furnished,West,Pool,Royal Enclave Residency,4.0,2.0,,Power Of Attorney,855 sqft,,,1474
1 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",78.4 Lac,78.4 Lac,Sector 137 Noida,1385 sqft,Under Construction,4 out of 15,New Property,Semi-Furnished,,Club,,2.0,2.0,2.0,Co-operative Society,1683 sqft,,,1475
4 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",2.68 Cr,2.68 Cr,Baner Pune,146 sqm,Under Construction,3 out of 17,Resale,Semi-Furnished,South,Club,Maple Residency,1.0,1.0,2.0,Co-operative Society,1862 sqft,,,1476
2 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",2.56 Cr,2.56 Cr,Kharadi Pune,1760 sqft,Under Construction,4 out of 16,Resale,Furnished,South-West,Garden/Park,Maple Residency,3.0,3.0,1.0,Power Of Attorney,2136 sqft,,,1477
1 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",47.8 Lac,47.8 Lac,Powai Mumbai,596 sqft,Under Construction,21 out of 23,New Property,Furnished,West,Pool,,2.0,1.0,0.0,Power Of Attorney,,,,1478
1 BHK Flat for Sale in Miyapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.02 Cr,1.02 Cr,Miyapur Hyderabad,105 sqm,Ready to Move,1 out of 2,New Property,Furnished,East,Garden/Park,,1.0,0.0,2.0,Power Of Attorney,1279 sqft,,,1479
3 BHK Flat for Sale in Electronic City Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.34 Cr,1.34 Cr,Electronic City Bangalore,1336 sqft,Ready to Move,1 out of 1,Resale,Semi-Furnished,,,,1.0,1.0,1.0,Co-operative Society,,,,1480
2 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",1.18 Cr,1.18 Cr,Sector 62 Noida,1398 sqft,Under Construction,13 out of 15,Resale,Furnished,West,Garden/Park,,4.0,,1.0,Leasehold,1672 sqft,,,1481
2 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",1.26 Cr,1.26 Cr,Kharadi Pune,1152 sqft,Under Construction,Ground out of 1,Resale,Semi-Furnished,West,,Sunrise Residency,1.0,3.0,2.0,Freehold,1266 sqft,,,1482
1 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",91.4 Lac,91.4 Lac,Gachibowli Hyderabad,145 sqm,Ready to Move,6 out of 10,New Property,Semi-Furnished,South-West,Pool,Sunrise Residency,1.0,3.0,1.0,Leasehold,1772 sqft,,,1483
3 BHK Flat for Sale in Thane West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.55 Cr,1.55 Cr,Thane West Mumbai,1643 sqft,Ready to Move,3 out of 9,Resale,Semi-Furnished,South-West,Club,Lake View Residency,2.0,0.0,0.0,Co-operative Society,1779 sqft,,,1484
2 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",67.0 Lac,67.0 Lac,Andheri West Mumbai,916 sqft,Ready to Move,1 out of 23,Resale,Semi-Furnished,East,Pool,Sunrise Residency,1.0,3.0,1.0,Leasehold,1106 sqft,,,1485
3 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",74.9 Lac,74.9 Lac,Sector 137 Noida,1254 sqft,Ready to Move,7 out of 11,Resale,Furnished,South-West,Pool,Maple Residency,1.0,,0.0,Leasehold,1479 sqft,,,1486
3 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",2.9 Cr,2.9 Cr,Vaishali Ghaziabad,1867 sqft,Under Construction,6 out of 15,Resale,Unfurnished,North-East,Garden/Park,Royal Enclave Residency,2.0,1.0,0.0,Leasehold,2294 sqft,,,1487
2 BHK Flat for Sale in Kondapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",2.49 Cr,2.49 Cr,Kondapur Hyderabad,216 sqm,Ready to Move,13 out of 16,New Property,Furnished,,Pool,,4.0,1.0,,Power Of Attorney,2688 sqft,,,1488
2 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",2.2 Cr,2.2 Cr,New Town Kolkata,155 sqm,Under Construction,9 out of 20,Resale,Furnished,South,Garden/Park,,2.0,1.0,1.0,Freehold,1970 sqft,,,1489
3 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.22 Cr,1.22 Cr,Andheri West Mumbai,88 sqm,Ready to Move,13 out of 15,New Property,Furnished,North-East,,,4.0,3.0,1.0,Leasehold,1170 sqft,,,1490
2 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",2.46 Cr,2.46 Cr,HSR Layout Bangalore,1798 sqft,Ready to Move,3 out of 5,New Property,Unfurnished,East,Pool,Sunrise Residency,2.0,3.0,1.0,Co-operative Society,2115 sqft,,,1491
2 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",44.9 Lac,44.9 Lac,Sector 62 Noida,747 sqft,Ready to Move,16 out of 19,New Property,Furnished,South,Club,,2.0,,1.0,Freehold,924 sqft,,,1492
1 BHK Flat for Sale in Indiranagar Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.77 Cr,1.77 Cr,Indiranagar Bangalore,1320 sqft,Ready to Move,6 out of 10,Resale,Semi-Furnished,East,,Maple Residency,1.0,3.0,1.0,Co-operative Society,1567 sqft,,,1493
4 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",1.81 Cr,1.81 Cr,Baner Pune,105 sqm,Ready to Move,2 out of 4,New Property,Furnished,North,,,3.0,1.0,2.0,Leasehold,1446 sqft,,,1494
4 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",2.01 Cr,2.01 Cr,Vaishali Ghaziabad,1419 sqft,Under Construction,15 out of 19,Resale,Unfurnished,North,Garden/Park,Maple Residency,4.0,0.0,2.0,Leasehold,1779 sqft,,,1495
4 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",1.12 Cr,1.12 Cr,Kharadi Pune,1098 sqft,Under Construction,6 out of 22,New Property,Unfurnished,West,Main Road,,2.0,1.0,1.0,Power Of Attorney,1205 sqft,,,1496
4 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",84.0 Lac,84.0 Lac,Andheri West Mumbai,81 sqm,Ready to Move,3 out of 15,New Property,Semi-Furnished,South,Pool,,4.0,3.0,,Leasehold,969 sqft,,,1497
2 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",1.84 Cr,1.84 Cr,Vaishali Ghaziabad,1183 sqft,Ready to Move,2 out of 2,New Property,Unfurnished,North,Garden/Park,Royal Enclave Residency,2.0,0.0,0.0,Power Of Attorney,1393 sqft,,,1498
1 BHK Flat for Sale in Gachibowli Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.72 Cr,1.72 Cr,Gachibowli Hyderabad,1650 sqft,Ready to Move,1 out of 15,Resale,Semi-Furnished,West,,Lake View Residency,1.0,0.0,1.0,Freehold,1840 sqft,,,1499
4 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",78.6 Lac,78.6 Lac,Baner Pune,573 sqft,Under Construction,16 out of 22,Resale,Furnished,South,Club,,1.0,2.0,0.0,Co-operative Society,682 sqft,,,1500
3 BHK Flat for Sale in Miyapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",21.3 Lac,21.3 Lac,Miyapur Hyderabad,250 sqft,Ready to Move,7 out of 11,Resale,Furnished,West,,,3.0,2.0,1.0,Co-operative Society,,,,1501
2 BHK Flat for Sale in Miyapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.31 Cr,1.31 Cr,Miyapur Hyderabad,1312 sqft,Under Construction,4 out of 12,New Property,Furnished,West,Main Road,,4.0,1.0,1.0,Co-operative Society,1624 sqft,,,1502
1 BHK Flat for Sale in Electronic City Bangalore,"Spacious property with modern amenities, close to schools and markets.",48.1 Lac,48.1 Lac,Electronic City Bangalore,65 sqm,Ready to Move,16 out of 23,Resale,Furnished,,,Palm Grove Residency,1.0,2.0,0.0,Power Of Attorney,752 sqft,,,1503
1 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",2.56 Cr,2.56 Cr,Andheri West Mumbai,201 sqm,Under Construction,Ground out of 14,Resale,Furnished,,,,1.0,1.0,,Power Of Attorney,,,,1504
2 BHK Flat for Sale in Vaishali Ghaziabad,"Spacious property with modern amenities, close to schools and markets.",1.08 Cr,1.08 Cr,Vaishali Ghaziabad,981 sqft,Under Construction,4 out of 6,Resale,Furnished,South,Garden/Park,Lake View Residency,1.0,1.0,1.0,Co-operative Society,1107 sqft,,,1505
4 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",1.76 Cr,1.76 Cr,Baner Pune,1038 sqft,Under Construction,3 out of 20,New Property,Semi-Furnished,West,Main Road,,4.0,0.0,1.0,Co-operative Society,1106 sqft,,,1506
3 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",78.8 Lac,78.8 Lac,Powai Mumbai,979 sqft,Ready to Move,12 out of 20,New Property,Unfurnished,South,Club,,1.0,3.0,,Power Of Attorney,1272 sqft,,,1507
1 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",38.7 Lac,38.7 Lac,Sector 62 Noida,654 sqft,Under Construction,7 out of 8,Resale,Semi-Furnished,East,Garden/Park,Maple Residency,1.0,1.0,,Freehold,754 sqft,,,1508
2 BHK Flat for Sale in Whitefield Bangalore,"Spacious property with modern amenities, close to schools and markets.",2.88 Cr,2.88 Cr,Whitefield Bangalore,211 sqm,Under Construction,1 out of 4,Resale,Furnished,,Club,Maple Residency,4.0,2.0,1.0,Freehold,2705 sqft,,,1509
2 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",48.7 Lac,48.7 Lac,Wakad Pune,948 sqft,Under Construction,17 out of 24,Resale,Semi-Furnished,North,Pool,,4.0,3.0,0.0,Co-operative Society,1069 sqft,,,1510
1 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",1.32 Cr,1.32 Cr,Sector 62 Noida,132 sqm,Ready to Move,4 out of 6,Resale,Semi-Furnished,South,Club,,2.0,2.0,1.0,Co-operative Society,1588 sqft,,,1511
4 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",1.28 Cr,1.28 Cr,Kharadi Pune,843 sqft,Ready to Move,9 out of 10,New Property,Semi-Furnished,South-West,Pool,Maple Residency,3.0,1.0,2.0,Leasehold,,,,1512
1 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.44 Cr,1.44 Cr,Andheri West Mumbai,1114 sqft,Ready to Move,8 out of 11,New Property,Unfurnished,North,Garden/Park,Silver Oak Residency,1.0,3.0,,Freehold,1310 sqft,,,1513
2 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",1.79 Cr,1.79 Cr,Dwarka Delhi,123 sqm,Under Construction,7 out of 22,New Property,Furnished,East,Club,Sunrise Residency,3.0,1.0,1.0,Co-operative Society,,,,1514
3 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",1.37 Cr,1.37 Cr,Kharadi Pune,850 sqft,Under Construction,6 out of 10,Resale,Semi-Furnished,North,,,1.0,0.0,,Power Of Attorney,944 sqft,,,1515
2 BHK Flat for Sale in Whitefield Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.09 Cr,1.09 Cr,Whitefield Bangalore,1180 sqft,Under Construction,5 out of 6,Resale,Furnished,West,,Palm Grove Residency,2.0,3.0,1.0,Power Of Attorney,1444 sqft,,,1516
3 BHK Flat for Sale in Indiranagar Bangalore,"Spacious property with modern amenities, close to schools and markets.",2.5 Cr,2.5 Cr,Indiranagar Bangalore,1560 sqft,Ready to Move,1 out of 24,New Property,Semi-Furnished,South-West,,Royal Enclave Residency,4.0,2.0,,Freehold,1969 sqft,,,1517
1 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",2.75 Cr,2.75 Cr,Andheri West Mumbai,2225 sqft,Under Construction,12 out of 22,New Property,Unfurnished,West,Garden/Park,Orchid Residency,2.0,1.0,,Leasehold,2878 sqft,,,1518
1 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",2.25 Cr,2.25 Cr,New Town Kolkata,1472 sqft,Under Construction,2 out of 15,Resale,Furnished,North,Pool,,3.0,0.0,1.0,Co-operative Society,1584 sqft,,,1519
4 BHK Flat for Sale in Kondapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.38 Cr,1.38 Cr,Kondapur Hyderabad,154 sqm,Under Construction,1 out of 9,New Property,Semi-Furnished,North,Pool,Maple Residency,,1.0,0.0,Leasehold,1884 sqft,,,1520
1 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",62.8 Lac,62.8 Lac,Andheri West Mumbai,71 sqm,Under Construction,Ground out of 5,New Property,Semi-Furnished,East,Main Road,,3.0,2.0,1.0,Power Of Attorney,828 sqft,,,1521
4 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",2.4 Cr,2.4 Cr,Kharadi Pune,1882 sqft,Under Construction,15 out of 15,Resale,Furnished,South,Pool,,3.0,3.0,,Power Of Attorney,2260 sqft,,,1522
4 BHK Flat for Sale in Miyapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.27 Cr,1.27 Cr,Miyapur Hyderabad,106 sqm,Ready to Move,Ground out of 8,New Property,Furnished,West,Pool,Sunrise Residency,1.0,2.0,1.0,Co-operative Society,1213 sqft,,,1523
4 BHK Flat for Sale in Miyapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",1.56 Cr,1.56 Cr,Miyapur Hyderabad,1386 sqft,Under Construction,3 out of 17,Resale,Unfurnished,South-West,Club,Palm Grove Residency,,1.0,1.0,Co-operative Society,1778 sqft,,,1524
3 BHK Flat for Sale in Miyapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",30.3 Lac,30.3 Lac,Miyapur Hyderabad,419 sqft,Under Construction,14 out of 20,New Property,Semi-Furnished,West,Pool,,1.0,0.0,1.0,Co-operative Society,445 sqft,,,1525
3 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.29 Cr,1.29 Cr,HSR Layout Bangalore,905 sqft,Ready to Move,Ground out of 2,Resale,Semi-Furnished,North-East,Garden/Park,Orchid Residency,2.0,0.0,1.0,Leasehold,1011 sqft,,,1526
3 BHK Flat for Sale in Sector 62 Noida,"Spacious property with modern amenities, close to schools and markets.",28.4 Lac,28.4 Lac,Sector 62 Noida,24 sqm,Under Construction,12 out of 23,Resale,Unfurnished,South,Garden/Park,Palm Grove Residency,3.0,1.0,2.0,Power Of Attorney,292 sqft,,,1527
4 BHK Flat for Sale in Indiranagar Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.56 Cr,1.56 Cr,Indiranagar Bangalore,1062 sqft,Ready to Move,3 out of 5,New Property,Unfurnished,North,,Orchid Residency,3.0,2.0,,Power Of Attorney,1334 sqft,,,1528
1 BHK Flat for Sale in Thane West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.04 Cr,1.04 Cr,Thane West Mumbai,1032 sqft,Ready to Move,21 out of 22,New Property,Furnished,East,Club,,3.0,1.0,1.0,Leasehold,1230 sqft,,,1529
4 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.35 Cr,1.35 Cr,HSR Layout Bangalore,1749 sqft,Ready to Move,14 out of 15,Resale,Unfurnished,,,Silver Oak Residency,2.0,1.0,2.0,Freehold,1899 sqft,,,1530
2 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.31 Cr,1.31 Cr,New Town Kolkata,93 sqm,Under Construction,Ground out of 15,Resale,Semi-Furnished,East,Garden/Park,,2.0,0.0,2.0,Power Of Attorney,1203 sqft,,,1531
2 BHK Flat for Sale in HSR Layout Bangalore,"Spacious property with modern amenities, close to schools and markets.",2.66 Cr,2.66 Cr,HSR Layout Bangalore,2030 sqft,Under Construction,1 out of 14,New Property,Furnished,North-East,Garden/Park,Maple Residency,1.0,2.0,2.0,Freehold,2282 sqft,,,1532
4 BHK Flat for Sale in Indiranagar Bangalore,"Spacious property with modern amenities, close to schools and markets.",2.13 Cr,2.13 Cr,Indiranagar Bangalore,1736 sqft,Ready to Move,10 out of 13,Resale,Semi-Furnished,North,Pool,,1.0,3.0,2.0,Freehold,2168 sqft,,,1533
4 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",2.36 Cr,2.36 Cr,New Town Kolkata,133 sqm,Under Construction,5 out of 17,New Property,Furnished,North-East,Main Road,Orchid Residency,2.0,1.0,0.0,Leasehold,1567 sqft,,,1534
4 BHK Flat for Sale in Kondapur Hyderabad,"Spacious property with modern amenities, close to schools and markets.",2.54 Cr,2.54 Cr,Kondapur Hyderabad,209 sqm,Under Construction,Ground out of 14,Resale,Semi-Furnished,South,Garden/Park,Palm Grove Residency,3.0,0.0,2.0,Leasehold,2680 sqft,,,1535
1 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",1.4 Cr,1.4 Cr,Dwarka Delhi,1404 sqft,Under Construction,19 out of 19,Resale,Unfurnished,West,Club,Royal Enclave Residency,2.0,3.0,1.0,Freehold,1562 sqft,,,1536
3 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.16 Cr,1.16 Cr,Salt Lake Kolkata,1178 sqft,Ready to Move,7 out of 10,Resale,Semi-Furnished,North,Pool,Royal Enclave Residency,3.0,2.0,1.0,Co-operative Society,1329 sqft,,,1537
2 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.38 Cr,1.38 Cr,Powai Mumbai,1917 sqft,Under Construction,4 out of 5,Resale,Semi-Furnished,,Club,Palm Grove Residency,4.0,2.0,0.0,Leasehold,2136 sqft,,,1538
1 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",1.77 Cr,1.77 Cr,Dwarka Delhi,1250 sqft,Under Construction,Ground out of 11,Resale,Furnished,East,Club,Royal Enclave Residency,1.0,3.0,0.0,Leasehold,1546 sqft,,,1539
3 BHK Flat for Sale in Andheri West Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.56 Cr,1.56 Cr,Andheri West Mumbai,122 sqm,Under Construction,Ground out of 6,New Property,Unfurnished,West,Pool,,4.0,3.0,1.0,Power Of Attorney,1467 sqft,,,1540
1 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",1.45 Cr,1.45 Cr,Powai Mumbai,182 sqm,Ready to Move,5 out of 23,New Property,Unfurnished,North,,,2.0,1.0,1.0,Freehold,2177 sqft,,,1541
1 BHK Flat for Sale in Indiranagar Bangalore,"Spacious property with modern amenities, close to schools and markets.",75.8 Lac,75.8 Lac,Indiranagar Bangalore,47 sqm,Under Construction,1 out of 13,Resale,Furnished,North-East,Pool,,,3.0,1.0,Co-operative Society,591 sqft,,,1542
4 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",40.4 Lac,40.4 Lac,Sector 137 Noida,665 sqft,Under Construction,1 out of 5,Resale,Furnished,South,,,1.0,1.0,,Leasehold,713 sqft,,,1543
1 BHK Flat for Sale in Baner Pune,"Spacious property with modern amenities, close to schools and markets.",1.66 Cr,1.66 Cr,Baner Pune,98 sqm,Under Construction,1 out of 22,New Property,Semi-Furnished,West,Main Road,Royal Enclave Residency,4.0,0.0,0.0,Co-operative Society,1351 sqft,,,1544
2 BHK Flat for Sale in Sector 137 Noida,"Spacious property with modern amenities, close to schools and markets.",21.3 Lac,21.3 Lac,Sector 137 Noida,250 sqft,Under Construction,5 out of 6,New Property,Unfurnished,North,Club,Lake View Residency,2.0,0.0,1.0,Freehold,284 sqft,,,1545
2 BHK Flat for Sale in New Town Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.39 Cr,1.39 Cr,New Town Kolkata,1067 sqft,Ready to Move,17 out of 18,Resale,Unfurnished,,Main Road,Palm Grove Residency,1.0,0.0,0.0,Power Of Attorney,1310 sqft,,,1546
2 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",,1.96 Cr,Wakad Pune,2134 sqft,Ready to Move,3 out of 14,New Property,Furnished,East,Main Road,Royal Enclave Residency,1.0,0.0,2.0,Freehold,2419 sqft,,,1547
3 BHK Flat for Sale in Rajarhat Kolkata,"Spacious property with modern amenities, close to schools and markets.",1.34 Cr,1.34 Cr,Rajarhat Kolkata,154 sqm,Ready to Move,8 out of 9,New Property,Semi-Furnished,South,Pool,,1.0,2.0,0.0,Power Of Attorney,1778 sqft,,,1548
2 BHK Flat for Sale in Whitefield Bangalore,"Spacious property with modern amenities, close to schools and markets.",1.67 Cr,1.67 Cr,Whitefield Bangalore,97 sqm,Ready to Move,5 out of 15,New Property,Semi-Furnished,,Main Road,Maple Residency,1.0,3.0,0.0,Co-operative Society,1319 sqft,,,1549
3 BHK Flat for Sale in Kharadi Pune,"Spacious property with modern amenities, close to schools and markets.",1.31 Cr,1.31 Cr,Kharadi Pune,1181 sqft,Ready to Move,5 out of 20,New Property,Unfurnished,South-West,,,3.0,2.0,1.0,Freehold,1336 sqft,,,1550
4 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",1.74 Cr,1.74 Cr,Dwarka Delhi,1187 sqft,Ready to Move,3 out of 22,New Property,Furnished,East,Club,Palm Grove Residency,1.0,1.0,,Co-operative Society,1477 sqft,,,1551
4 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",1.21 Cr,1.21 Cr,Dwarka Delhi,1378 sqft,Under Construction,Ground out of 8,New Property,Furnished,North-East,Pool,Maple Residency,3.0,2.0,1.0,Leasehold,1638 sqft,,,1552
2 BHK Flat for Sale in Powai Mumbai,"Spacious property with modern amenities, close to schools and markets.",Call for Price,Call for Price,Powai Mumbai,967 sqft,Ready to Move,1 out of 19,Resale,Semi-Furnished,,Garden/Park,Silver Oak Residency,2.0,,2.0,Power Of Attorney,1091 sqft,,,1553
4 BHK Flat for Sale in Dwarka Delhi,"Spacious property with modern amenities, close to schools and markets.",2.14 Cr,2.14 Cr,Dwarka Delhi,120 sqm,Under Construction,14 out of 16,New Property,Unfurnished,South-West,Pool,Maple Residency,3.0,1.0,0.0,Power Of Attorney,1671 sqft,,,1554
3 BHK Flat for Sale in Salt Lake Kolkata,"Spacious property with modern amenities, close to schools and markets.",54.3 Lac,54.3 Lac,Salt Lake Kolkata,60 sqm,Under Construction,2 out of 18,New Property,Semi-Furnished,North-East,Club,Sunrise Residency,1.0,1.0,,Freehold,690 sqft,,,1555
3 BHK Flat for Sale in Wakad Pune,"Spacious property with modern amenities, close to schools and markets.",43.5 Lac,43.5 Lac,Wakad Pune,842 sqft,Ready to Move,10 out of 14,New Property,Semi-Furnished,East,Main Road,,1.0,2.0,2.0,Power Of Attorney,1026 sqft,,,1556
